file,beamformer_index,beamformer_phi_index,beamformer_theta_index,beamformer_phi_deg,beamformer_theta_deg,exhaustive_index,exhaustive_phi_index,exhaustive_theta_index,exhaustive_phi_deg,exhaustive_theta_deg,exact_match,beam_similarity,beam_similarity_squared,phi_error_deg,theta_error_deg,beamformer_rss,exhaustive_rss,gain_loss_db,best_reference_index,best_reference_rss,best_reference_loss_db
seed1005-epoch36-64.mat,1453,72,13,324.0,61.57894736842105,1473,73,13,328.5,61.57894736842105,False,0.5868130922317505,0.3443496052145889,4.5,0.0,1.0599809276720621e-11,1.2684181875436258e-11,0.7796373632728972,35,6.101899309690571e-13,13.177296798440253
seed1005-epoch36-89.mat,896,44,16,198.0,75.78947368421052,896,44,16,198.0,75.78947368421052,True,1.0,1.0,0.0,0.0,6.025598216025384e-10,6.025598216025384e-10,0.0,33,2.4672476717717752e-11,13.877857337748921
seed1005-epoch38-56.mat,734,36,14,162.0,66.3157894736842,733,36,13,162.0,61.57894736842105,False,0.8680396676063538,0.7534928645381491,0.0,4.7368421052631575,1.7089456292900128e-09,1.9090352210529753e-09,0.4808569268213745,62,1.7742242964407578e-10,10.31805196791872
seed1005-epoch38-76.mat,1455,72,15,324.0,71.05263157894737,1455,72,15,324.0,71.05263157894737,True,1.0,1.0,0.0,0.0,7.346607584853236e-10,7.346607584853236e-10,0.0,35,7.124802508350055e-11,10.133134617325169
