file,top_k,omp_sparsity,omp_selected_count,omp_support_grid_indices,omp_residual_norm,optimal_rss,sweep_rss,beamformer_top1_rss,omp_rss,sweep_gain_ratio_to_optimal,beamformer_top1_gain_ratio_to_optimal,omp_gain_ratio_to_optimal,sweep_gain_loss_to_optimal_db,beamformer_top1_gain_loss_to_optimal_db,omp_gain_loss_to_optimal_db,omp_gain_loss_minus_sweep_gain_loss_db,sweep_similarity_to_optimal,beamformer_top1_similarity_to_optimal,omp_similarity_to_optimal,beamformer_top1_index,beamformer_top1_phi_index,beamformer_top1_theta_index,beamformer_top1_phi_deg,beamformer_top1_theta_deg,sweep_index,sweep_phi_index,sweep_theta_index,sweep_phi_deg,sweep_theta_deg
seed1005-epoch36-64.mat,10,10,10,1473 1453 1456 1475 1472 1476 1455 1452 1474 1454,0.3407206595938874,1.7179939773672602e-11,5.238394975396148e-13,1.0599809276720621e-11,1.519120123832012e-11,0.03049134656120114,0.6169875690114058,0.8842406573275581,15.157430256651793,2.0972201672637283,0.5342918920201782,-14.623138364631615,0.17255407571792603,0.7852578163146973,0.9401645660400391,1453,72,13,324.0,61.57894736842105,1493,74,13,333.0,61.57894736842105
seed1005-epoch36-89.mat,10,10,10,896 875 894 878 899 876 895 877 897 898,0.41225584448242836,7.261433539881772e-10,8.558777752943525e-11,6.025598216025384e-10,6.078562629084069e-10,0.11786622718415565,0.8298083543602178,0.8371022878194708,9.286101700927887,0.8102218482030423,0.7722145949441028,-8.513887105983784,0.3362259268760681,0.9070520997047424,0.9110680818557739,896,44,16,198.0,75.78947368421052,659,32,19,144.0,90.0
seed1005-epoch38-56.mat,10,10,10,733 754 752 735 732 488 755 508 734 753,0.6379263596442598,3.9313976793972206e-09,1.4728918828950806e-09,1.7089456292900128e-09,2.331675369951599e-09,0.374648408278277,0.43469162080597146,0.5930906919365893,4.263760897554647,3.6181871690099996,2.268788842235736,-1.994972055318911,0.6119892597198486,0.6593078970909119,0.7700972557067871,734,36,14,162.0,66.3157894736842,753,37,13,166.5,61.57894736842105
seed1005-epoch38-76.mat,10,10,10,1455 1477 1475 1459 1454 1456 1476 1478 1457 1458,0.29218765505083544,1.0655410084258964e-09,3.301457178275129e-11,7.346607584853236e-10,9.748953753432636e-10,0.030983858454704707,0.6894720641213276,0.9149299441637241,15.088632253263313,1.6148330742387316,0.3861215463337686,-14.702510706929544,0.058308348059654236,0.8302564024925232,0.9563609957695007,1455,72,15,324.0,71.05263157894737,113,5,13,22.5,61.57894736842105
seed1005-epoch38-96.mat,10,10,10,1146 1106 1125 1147 1166 1145 1127 1086 1105 1126,0.43003564710360126,6.312845334992567e-09,2.5843718524060153e-09,4.727995574616368e-09,5.146881359173599e-09,0.4093830460379968,0.7489484255869124,0.8153029396497419,3.8787013700635953,1.2554808554080523,0.8868099022596851,-2.99189146780391,0.6395164728164673,0.8651894330978394,0.9028118848800659,1146,57,6,256.5,28.421052631578945,1166,58,6,261.0,28.421052631578945
seed1005-epoch60-93.mat,10,10,10,1246 854 1225 853 1286 1206 1265 1226 1245 1266,0.6827855270570318,5.390165095495392e-11,1.7609691139023322e-11,2.3619876725800663e-11,2.9408890762308686e-11,0.32670040392157734,0.43820321469448126,0.545602782869971,4.858486680753245,3.583234077812932,2.631227521813358,-2.227259158939887,0.5595526099205017,0.6442346572875977,0.730618953704834,1246,62,6,279.0,28.421052631578945,1266,63,6,283.5,28.421052631578945
seed1005-epoch61-93.mat,10,10,10,611 195 192 690 672 692 193 671 691 194,0.5363880167713146,1.0470229671646323e-10,2.4439560394158864e-11,6.7898309937907075e-12,7.530094751731343e-11,0.2334195252692678,0.06484892124360711,0.7191909812755161,6.318614563265598,11.880912625602349,1.4315560538047691,-4.887058509460829,0.46779516339302063,0.24552619457244873,0.8439716100692749,691,34,11,153.0,52.10526315789473,653,32,13,144.0,61.57894736842105
seed1080-epoch11-31.mat,10,10,10,1015 995 1019 999 1016 996 997 1017 1018 998,0.7218073802444508,2.8146461645076765e-08,6.1822394958297e-10,3.482829338189052e-09,1.3856726904041393e-08,0.021964535271917798,0.1237395087918005,0.4923079525509431,16.582779124466995,9.074916014029398,3.0776314715545396,-13.505147652912456,0.14085064828395844,0.34634941816329956,0.6920938491821289,997,49,17,220.5,80.52631578947367,0,0,0,0.0,0.0
seed1080-epoch36-52.mat,10,10,10,1029 1050 1010 1009 1031 1069 1070 1051 1049 1030,0.3767246042500552,1.6243734840033604e-09,1.1293195519183786e-10,1.062846603033251e-09,1.4221086651988847e-09,0.06952339243651691,0.6543117167942224,0.8754813343135948,11.578686865504139,1.842152885726236,0.5775310504804594,-11.00115581502368,0.13161435723304749,0.7885112762451172,0.9263255000114441,1029,51,9,229.5,42.63157894736842,859,42,19,189.0,90.0
seed1080-epoch38-1.mat,10,10,10,1353 1333 1351 1373 1335 1355 1352 1332 1334 1354,0.15426253733450426,1.9494764354373243e-09,2.0049191769969056e-10,1.566199897961454e-09,1.9035086000434524e-09,0.10284398110958155,0.8033951421475426,0.9764204200890687,9.878209257469308,0.9507079317318414,0.103631461285147,-9.774577796184161,0.32043617963790894,0.8961914777755737,0.9880298376083374,1353,67,13,301.5,61.57894736842105,1373,68,13,306.0,61.57894736842105
seed1080-epoch60-47.mat,10,10,10,1474 39 1453 1455 1472 1476 1473 1454 1475 38,0.5526092076598849,4.100521961007951e-09,1.8393931988316649e-10,2.0733034505840844e-09,2.8488913362835534e-09,0.04485753804814455,0.50561939926166,0.6947630968383514,13.481643403114333,2.9617626133455133,1.581632530230209,-11.900010872884124,0.20687147974967957,0.7096748352050781,0.8334406614303589,1474,73,14,328.5,66.3157894736842,1493,74,13,333.0,61.57894736842105
seed1158-epoch2-58.mat,10,10,10,1512 1472 1491 1513 1494 1473 1492 1471 1511 1493,0.5629437227707231,3.801488328740362e-11,8.90675177156948e-12,1.7322066670105653e-11,2.5987477095088247e-11,0.23429643869302016,0.45566539134543094,0.683613228498305,6.302305790754787,3.413525909219885,1.6518901316797638,-4.650415659075023,0.48245400190353394,0.6708199381828308,0.826495349407196,1492,74,12,333.0,56.84210526315789,1493,74,13,333.0,61.57894736842105
seed1158-epoch2-89.mat,10,10,10,1107 1086 984 1087 1047 1088 1066 1315 1314 1067,0.514172067399785,1.3233895752685005e-09,2.514148925190957e-10,6.394023544180838e-10,9.818371856724655e-10,0.18997799077273714,0.4831550484960987,0.7419109263221014,7.212965698586743,3.1591344304468265,1.2964822148408643,-5.916483483745878,0.42534464597702026,0.6914269924163818,0.8576872944831848,1087,54,7,243.0,33.1578947368421,1066,53,6,238.5,28.421052631578945
seed1158-epoch45-40.mat,10,10,10,829 810 828 849 831 789 830 850 808 809,0.2794507351218889,2.123784361971146e-09,6.913605063902048e-11,1.6635124488099474e-09,1.9593723977999684e-09,0.0325532346301172,0.7832774732675747,0.9225853777270578,14.87405243850408,1.060843577474003,0.34993431192842195,-14.524118126575658,0.15396882593631744,0.884547233581543,0.9601598978042603,829,41,9,184.5,42.63157894736842,1493,74,13,333.0,61.57894736842105
seed1158-epoch71-40.mat,10,10,10,771 750 791 749 770 751 534 772 553 1264,0.7881535798883119,3.9438030128468385e-10,2.0514126535924502e-11,9.362160025704388e-11,1.572290829361677e-10,0.05201610341363464,0.23738913924471858,0.3986737735733705,12.838601774977974,6.245388005075,3.993821670067433,-8.84478010491054,0.15814486145973206,0.4622284173965454,0.6154788136482239,750,37,10,166.5,47.368421052631575,646,32,6,144.0,28.421052631578945
seed1158-epoch72-98.mat,10,10,10,811 830 791 851 812 850 790 831 832 810,0.1888821208701691,1.2962497904009737e-08,2.6295155009345387e-10,1.066918809311285e-08,1.250349623644759e-08,0.02028556162868224,0.8230811817383215,0.9645900295636567,16.92812802049039,0.845573268352382,0.15657231331020682,-16.771555707180184,0.1298132836818695,0.9070855379104614,0.9819997549057007,811,40,11,180.0,52.10526315789473,19,0,19,0.0,90.0
