file,rank,index,phi_index,theta_index,phi_deg,theta_deg,predicted_rss,predicted_rss_db,selected_by_omp,omp_order,omp_coeff_real,omp_coeff_imag,omp_coeff_abs
seed1005-epoch36-64.mat,1,1453,72,13,324.0,61.57894736842105,9.999999960041972e-13,-119.99956574458318,True,2,-4.4640376339267815,5.569543877767538,7.13774831466426
seed1005-epoch36-64.mat,2,1473,73,13,328.5,61.57894736842105,8.947168635316249e-13,-120.48265839875229,True,1,1.0868486972669267,6.993757414356104,7.077703219379277
seed1005-epoch36-64.mat,3,1454,72,14,324.0,66.3157894736842,7.495264717043149e-13,-121.25155085524602,True,10,9.380688927329563,-6.985963865679354,11.69619664181058
seed1005-epoch36-64.mat,4,1474,73,14,328.5,66.3157894736842,6.960608305017768e-13,-121.57290415949021,True,9,1.7792506403634492,-12.239477788439798,12.368126348600459
seed1005-epoch36-64.mat,5,1452,72,12,324.0,56.84210526315789,6.403955599317002e-13,-121.93483876542004,True,8,0.7750903890540218,-1.5532013926696262,1.7358570440548327
seed1005-epoch36-64.mat,6,1472,73,12,328.5,56.84210526315789,5.102168145441899e-13,-122.92160121764867,True,5,-1.1113126994218123,-1.775235913306811,2.094392146612105
seed1005-epoch36-64.mat,7,1455,72,15,324.0,71.05263157894737,3.342174627329886e-13,-124.75840937883943,True,7,-8.899178811033245,4.3080112202564775,9.887079659060038
seed1005-epoch36-64.mat,8,1475,73,15,328.5,71.05263157894737,3.310124797959585e-13,-124.80024450161918,True,4,-4.0275478260492585,8.986484922794233,9.84774353640072
seed1005-epoch36-64.mat,9,1456,72,16,324.0,75.78947368421052,1.0563241497870204e-13,-129.75791848187095,True,3,3.1684577139223364,-0.8947059055878958,3.292358264589049
seed1005-epoch36-64.mat,10,1476,73,16,328.5,75.78947368421052,1.0022579012385069e-13,-129.9858741125944,True,6,1.9288536801740037,-2.4794727786392596,3.1413789614648353
seed1005-epoch36-89.mat,1,896,44,16,198.0,75.78947368421052,2.4672475867903998e-11,-106.07785506901904,True,1,-5.581300969126551,-89.95003816662839,90.12302861469912
seed1005-epoch36-89.mat,2,895,44,15,198.0,71.05263157894737,2.408622433447416e-11,-106.18229469949824,True,7,-15.578341449268782,15.81643237848884,22.200095844237158
seed1005-epoch36-89.mat,3,897,44,17,198.0,80.52631578947367,2.1951992307256418e-11,-106.58524079786761,True,9,139.87185126356164,185.66822819070708,232.45822363464018
seed1005-epoch36-89.mat,4,898,44,18,198.0,85.26315789473684,1.9150941249490572e-11,-107.17807608295126,True,10,-339.3659121220237,-218.04885398308127,403.3788852106022
seed1005-epoch36-89.mat,5,899,44,19,198.0,90.0,1.8332078910443528e-11,-107.36785912967768,True,5,217.37743891838164,105.93404620455458,241.81599015777152
seed1005-epoch36-89.mat,6,894,44,14,198.0,66.3157894736842,1.5605031156162852e-11,-108.06732576876354,True,3,2.611275728250924,0.7087750944105534,2.7057573918237905
