file,beamformer_index,beamformer_phi_index,beamformer_theta_index,beamformer_phi_deg,beamformer_theta_deg,sweep_index,sweep_phi_index,sweep_theta_index,sweep_phi_deg,sweep_theta_deg,beamformer_matches_sweep,sweep_similarity_to_optimal,beamformer_similarity_to_optimal,sweep_similarity_squared_to_optimal,beamformer_similarity_squared_to_optimal,beamformer_vs_sweep_phi_error_deg,beamformer_vs_sweep_theta_error_deg,optimal_rss,beamformer_rss,sweep_rss,sweep_gain_loss_to_optimal_db,beamformer_gain_loss_to_optimal_db,best_reference_index
seed1005-epoch36-64.mat,1453,72,13,324.0,61.57894736842105,1493,74,13,333.0,61.57894736842105,False,0.17255407571792603,0.7852578163146973,0.029774909046867748,0.6166298380833268,9.0,0.0,1.7179939773672602e-11,1.0599809276720621e-11,5.238394975396148e-13,15.157430256651793,2.0972201672637283,35
seed1005-epoch36-89.mat,896,44,16,198.0,75.78947368421052,659,32,19,144.0,90.0,False,0.3362259268760681,0.9070520997047424,0.1130478739036711,0.822743511578782,54.0,14.21052631578948,7.261433539881772e-10,6.025598216025384e-10,8.558777752943525e-11,9.286101700927887,0.8102218482030423,33
seed1005-epoch38-56.mat,734,36,14,162.0,66.3157894736842,753,37,13,166.5,61.57894736842105,False,0.6119892597198486,0.6593078970909119,0.37453085401244834,0.43468690316644043,4.5,4.7368421052631575,3.9313976793972206e-09,1.7089456292900128e-09,1.4728918828950806e-09,4.263760897554647,3.6181871690099996,62
seed1005-epoch38-76.mat,1455,72,15,324.0,71.05263157894737,113,5,13,22.5,61.57894736842105,False,0.058308348059654236,0.8302564024925232,0.003399863453445784,0.6893256938798267,58.5,9.473684210526322,1.0655410084258964e-09,7.346607584853236e-10,3.301457178275129e-11,15.088632253263313,1.6148330742387316,35
seed1005-epoch38-96.mat,1146,57,6,256.5,28.421052631578945,1166,58,6,261.0,28.421052631578945,False,0.6395164728164673,0.8651894330978394,0.40898131900361534,0.7485527551441606,4.5,0.0,6.312845334992567e-09,4.727995574616368e-09,2.5843718524060153e-09,3.8787013700635953,1.2554808554080523,44
seed1005-epoch60-93.mat,1246,62,6,279.0,28.421052631578945,1266,63,6,283.5,28.421052631578945,False,0.5595526099205017,0.6442346572875977,0.31309912326884515,0.4150382936504684,4.5,0.0,5.390165095495392e-11,2.3619876725800663e-11,1.7609691139023322e-11,4.858486680753245,3.583234077812932,8
seed1005-epoch61-93.mat,691,34,11,153.0,52.10526315789473,653,32,13,144.0,61.57894736842105,False,0.46779516339302063,0.24552619457244873,0.21883231489390287,0.06028311222122795,9.0,9.473684210526315,1.0470229671646323e-10,6.7898309937907075e-12,2.4439560394158864e-11,6.318614563265598,11.880912625602349,44
seed1080-epoch11-31.mat,997,49,17,220.5,80.52631578947367,0,0,0,0.0,0.0,False,0.14085064828395844,0.34634941816329956,0.019838905122011363,0.11995791946205614,139.5,80.52631578947367,2.8146461645076765e-08,3.482829338189052e-09,6.1822394958297e-10,16.582779124466995,9.074916014029398,39
seed1080-epoch36-52.mat,1029,51,9,229.5,42.63157894736842,859,42,19,189.0,90.0,False,0.13161435723304749,0.7885112762451172,0.01732233902986824,0.6217500327657035,40.5,47.36842105263158,1.6243734840033604e-09,1.062846603033251e-09,1.1293195519183786e-10,11.578686865504139,1.842152885726236,59
seed1080-epoch38-1.mat,1353,67,13,301.5,61.57894736842105,1373,68,13,306.0,61.57894736842105,False,0.32043617963790894,0.8961914777755737,0.10267934522093825,0.8031591648375667,4.5,0.0,1.9494764354373243e-09,1.566199897961454e-09,2.0049191769969056e-10,9.878209257469308,0.9507079317318414,35
seed1080-epoch60-47.mat,1474,73,14,328.5,66.3157894736842,1493,74,13,333.0,61.57894736842105,False,0.20687147974967957,0.7096748352050781,0.04279580913382208,0.5036383717233548,4.5,4.7368421052631575,4.100521961007951e-09,2.0733034505840844e-09,1.8393931988316649e-10,13.481643403114333,2.9617626133455133,11
seed1158-epoch2-58.mat,1492,74,12,333.0,56.84210526315789,1493,74,13,333.0,61.57894736842105,False,0.48245400190353394,0.6708199381828308,0.23276186395273513,0.44999938946361695,0.0,4.7368421052631575,3.801488328740362e-11,1.7322066670105653e-11,8.90675177156948e-12,6.302305790754787,3.413525909219885,43
seed1158-epoch2-89.mat,1087,54,7,243.0,33.1578947368421,1066,53,6,238.5,28.421052631578945,False,0.42534464597702026,0.6914269924163818,0.1809180678613167,0.47807128584196334,4.5,4.7368421052631575,1.3233895752685005e-09,6.394023544180838e-10,2.514148925190957e-10,7.212965698586743,3.1591344304468265,49
seed1158-epoch45-40.mat,829,41,9,184.5,42.63157894736842,1493,74,13,333.0,61.57894736842105,False,0.15396882593631744,0.884547233581543,0.02370639936020802,0.7824238084367607,148.5,18.94736842105263,2.123784361971146e-09,1.6635124488099474e-09,6.913605063902048e-11,14.87405243850408,1.060843577474003,1
seed1158-epoch71-40.mat,750,37,10,166.5,47.368421052631575,646,32,6,144.0,28.421052631578945,False,0.15814486145973206,0.4622284173965454,0.025009797206117845,0.213655109848915,22.5,18.94736842105263,3.9438030128468385e-10,9.362160025704388e-11,2.0514126535924502e-11,12.838601774977974,6.245388005075,56
seed1158-epoch72-98.mat,811,40,11,180.0,52.10526315789473,19,0,19,0.0,90.0,False,0.1298132836818695,0.9070855379104614,0.016851488620269528,0.8228041730863112,180.0,37.89473684210527,1.2962497904009737e-08,1.066918809311285e-08,2.6295155009345387e-10,16.92812802049039,0.845573268352382,1
seed1187-epoch15-47.mat,188,9,8,40.5,37.89473684210526,859,42,19,189.0,90.0,False,0.02334471046924591,0.8128812909126282,0.0005449755068929196,0.6607759931157808,148.5,52.10526315789474,8.982137115686065e-10,6.108809948845709e-10,7.8606103715654e-11,10.57922906253404,1.6742304369410874,32
seed1187-epoch15-55.mat,251,12,11,54.0,52.10526315789473,233,11,13,49.5,61.57894736842105,False,0.164075568318367,0.9107063412666321,0.026920792118995118,0.8293860400232553,4.5,9.473684210526315,2.3693995089458404e-10,1.9674688107358443e-10,6.6568802411972166e-12,15.513612094966021,0.8073040022862443,4
seed1187-epoch16-10.mat,1579,78,19,351.0,90.0,859,42,19,189.0,90.0,False,0.533210813999176,0.5744540691375732,0.2843137721656639,0.3299974775487158,162.0,0.0,4.4854612036638245e-12,1.5230195675657787e-12,1.318574996032932e-12,5.316790154036241,4.69082789269055,16
seed1187-epoch16-69.mat,846,42,6,189.0,28.421052631578945,846,42,6,189.0,28.421052631578945,True,0.6199184656143188,0.6199184656143188,0.3842989040096114,0.3842989040096114,0.0,0.0,8.362583416442802e-09,3.2395766695741653e-09,3.2395766695741653e-09,4.118521920042284,4.118521920042284,62
seed119-epoch19-82.mat,934,46,14,207.0,66.3157894736842,653,32,13,144.0,61.57894736842105,False,0.28895261883735657,0.7058097720146179,0.08349361593296667,0.4981674342713269,63.0,4.7368421052631575,1.3718068356082889e-09,7.240414079292125e-10,1.908530188138157e-10,8.565937329044331,2.775295300510777,38
seed119-epoch20-79.mat,1575,78,15,351.0,71.05263157894737,1599,79,19,355.5,90.0,False,0.3052152693271637,0.6839399337768555,0.09315636063045307,0.46777383301468944,4.5,18.94736842105263,2.906226160584583e-09,1.3610924377557056e-09,2.751546561977664e-10,10.237523985025902,3.2944176977272406,28
seed119-epoch20-8.mat,1095,54,15,243.0,71.05263157894737,1079,53,19,238.5,90.0,False,0.5294264554977417,0.8572120070457458,0.28029237178090227,0.7348124250233958,4.5,18.94736842105263,2.604376055968303e-09,1.9143533868036386e-09,7.301190204706491e-10,5.523099886059555,1.3368157691907498,39
seed119-epoch45-23.mat,1565,78,5,351.0,23.684210526315788,1586,79,6,355.5,28.421052631578945,False,0.7439199090003967,0.8725517988204956,0.5534168310071585,0.7613466416248826,4.5,4.7368421052631575,5.1664539147405526e-08,3.9340618631935e-08,2.8608812453934933e-08,2.5669272841447395,1.1835137460563772,31
seed119-epoch45-5.mat,795,39,15,175.5,71.05263157894737,19,0,19,0.0,90.0,False,0.44201311469078064,0.9582881331443787,0.1953755935586452,0.9183161461253384,175.5,18.94736842105263,7.218855640326287e-09,6.630613530188311e-09,1.4870412994772283e-09,6.861453035557133,0.3691464102504938,26
seed119-epoch71-45.mat,112,5,12,22.5,56.84210526315789,113,5,13,22.5,61.57894736842105,False,0.674209713935852,0.7972932457923889,0.45455873836546346,0.6356765197861627,0.0,4.7368421052631575,9.64387334497431e-10,6.230161596452269e-10,4.455927747425162e-10,3.3531330546412192,1.8975216195410667,21
seed1226-epoch23-32.mat,177,8,17,36.0,80.52631578947367,113,5,13,22.5,61.57894736842105,False,0.21185360848903656,0.7465205788612366,0.044881951429825984,0.5572929746633157,13.5,18.947368421052623,2.879574173846231e-10,1.61132255274444e-10,1.2947280721329043e-11,13.471465019145086,2.5214566542232575,28
